Row,z_1,z_2
bnd_pnt_1,-2.23770861186321,-1.16952927507017
bnd_pnt_2,-1.46993773556688,-0.810080365068309
bnd_pnt_3,-0.724783499089977,-1.08265440625816
bnd_pnt_4,-0.524520669104805,-0.788426134757043
bnd_pnt_5,-0.137280264007248,-0.78984550198454
bnd_pnt_6,0.107686552562671,-1.26304343975597
bnd_pnt_7,0.648073103936081,-2.00618952093137
bnd_pnt_8,1.07774943880783,-2.25005101615142
bnd_pnt_9,1.19083205337061,-2.44128941639938
bnd_pnt_10,0.523131198196031,-3.03098136083769
bnd_pnt_11,0.289613210596695,-2.59352016508406
bnd_pnt_12,-0.135666421074113,-2.55940526376078
bnd_pnt_13,-0.583486002256424,-2.71190593150809
bnd_pnt_14,-1.30203664821422,-2.50195480996109
bnd_pnt_15,NaN,NaN
bnd_pnt_16,1.81735064601196,0.437848905198107
bnd_pnt_17,1.6845487296315,0.238043039143887
bnd_pnt_18,1.51682576885887,0.218281955108088
bnd_pnt_19,NaN,NaN
bnd_pnt_20,2.39683019866636,2.83093762106576
bnd_pnt_21,2.81801386794861,2.65678550968366
bnd_pnt_22,3.75787515347565,1.84095420547723
