Row,z_1,z_2
bnd_pnt_1,-2.23770861186321,-1.16952927507017
bnd_pnt_2,-1.36154749053905,-1.42187180889697
bnd_pnt_3,-0.724783499089977,-1.08265440625816
bnd_pnt_4,-0.524520669104805,-0.788426134757043
bnd_pnt_5,-0.137280264007248,-0.78984550198454
bnd_pnt_6,0.107686552562671,-1.26304343975597
bnd_pnt_7,0.648073103936081,-2.00618952093137
bnd_pnt_8,1.07774943880783,-2.25005101615142
bnd_pnt_9,1.19083205337061,-2.44128941639938
bnd_pnt_10,0.523131198196031,-3.03098136083769
bnd_pnt_11,-0.135666421074113,-2.55940526376078
bnd_pnt_12,-0.583486002256424,-2.71190593150809
bnd_pnt_13,-1.30203664821422,-2.50195480996109
