Row,Avg_Perf_all_instances,Std_Perf_all_instances,Probability_of_good,Avg_Perf_selected_instances,Std_Perf_selected_instances,CV_model_accuracy,CV_model_precision,CV_model_recall,NumNeighbours,Distance
sdpt3,0.926,0.449,0.5,0.609,0,100,100,100,1,3
sedumi,0.782,0.298,1,0.782,0.298,100,100,100,1,3
Oracle,0.782,0.298,1,,,,,,,
Selector,0.801,0.271,1,0.801,0.271,,100,66.7,,
