Row,sdpt3,sedumi
arch0.dat-s,0.879600168095581,-0.5
arch2.dat-s,0.564290465770314,-0.5
arch4.dat-s,-0.064119453484222,-0.5
arch8.dat-s,-1.37977118038167,1.5
