Row,Avg_Perf_all_instances,Std_Perf_all_instances,Probability_of_good,Avg_Perf_selected_instances,Std_Perf_selected_instances,CV_model_accuracy,CV_model_precision,CV_model_recall,NumNeighbours,Distance
sdpt3,0.727,0.277,0.75,0.589,0.027,100,100,100,2,8
sedumi,0.684,0.181,1,0.684,0.181,100,100,100,1,3
Oracle,0.674,0.185,1,,,,,,,
Selector,0.68,0.182,1,0.68,0.182,,100,57.1,,
