Row,z_1,z_2
bnd_pnt_1,2.85025343248104,-3.23945678937203
bnd_pnt_2,3.90244444607207,-2.23609809418625
bnd_pnt_3,4.33315423381496,-0.845009754514806
bnd_pnt_4,4.621251223781,3.58211659941284
bnd_pnt_5,3.88832111018154,4.10757205632761
bnd_pnt_6,2.88300761348507,4.43311120126212
bnd_pnt_7,-0.623644163468615,5.02697379503914
bnd_pnt_8,-1.54620364229825,4.78129034523605
bnd_pnt_9,-3.04615672645308,3.62901363646453
bnd_pnt_10,-4.09834774004412,2.62565494127875
bnd_pnt_11,-4.529057527787,1.23456660160731
bnd_pnt_12,-4.81715451775304,-3.19255975232034
bnd_pnt_13,-4.08422440415358,-3.7180152092351
bnd_pnt_14,-3.07891090745711,-4.04355435416961
bnd_pnt_15,0.427740869496572,-4.63741694794663
bnd_pnt_16,1.3503003483262,-4.39173349814354
bnd_pnt_17,2.85025343248104,-3.23945678937203
