Row,sdpt3,sedumi
arch0.dat-s,1.21677458344665,-1.24375786754049
arch2.dat-s,1.18267451859209,-1.24375786754049
arch4.dat-s,-0.78878997942503,0.393456060395386
arch8.dat-s,-0.78878997942503,0.498141852972642
control1.dat-s,1.2463850569215,-1.24375786754049
control10.dat-s,-0.78878997942503,0.657353122027369
control11.dat-s,-0.78878997942503,0.679692784519225
control2.dat-s,1.27487703194932,-1.24375786754049
control3.dat-s,1.27388737511734,-1.24375786754049
control4.dat-s,1.27078061875132,-1.24375786754049
control5.dat-s,1.27261657272182,-1.24375786754049
control6.dat-s,1.24926333094599,-1.24375786754049
control7.dat-s,1.24436345709285,-1.24375786754049
control8.dat-s,1.23905836224224,-1.24375786754049
control9.dat-s,1.23449055947056,-1.24375786754049
equalG11.dat-s,-0.78878997942503,0.798714770271975
equalG51.dat-s,-0.78878997942503,0.856210813376425
gpp100.dat-s,-0.78878997942503,0.641781318855233
gpp124-1.dat-s,-0.78878997942503,0.7415212950003
gpp124-2.dat-s,-0.78878997942503,0.755975901904069
gpp124-3.dat-s,-0.78878997942503,0.753869810273614
gpp124-4.dat-s,-0.78878997942503,0.758401690745557
gpp250-1.dat-s,-0.78878997942503,0.800339068513364
gpp250-2.dat-s,-0.78878997942503,0.790212291853997
gpp250-3.dat-s,-0.78878997942503,0.814691856691313
gpp250-4.dat-s,-0.78878997942503,0.811302033964895
gpp500-1.dat-s,-0.78878997942503,0.867931033832034
gpp500-2.dat-s,-0.78878997942503,0.863793266675595
gpp500-3.dat-s,-0.78878997942503,0.866203919093898
gpp500-4.dat-s,-0.78878997942503,0.85574514184071
hinf1.dat-s,1.28663829521613,-1.24375786754049
hinf10.dat-s,1.27424855584798,-1.24375786754049
hinf11.dat-s,1.2957464632567,-1.24375786754049
hinf12.dat-s,1.30957846905187,-1.24375786754049
hinf13.dat-s,1.26412589066447,-1.24375786754049
hinf14.dat-s,1.2950044081091,-1.24375786754049
hinf15.dat-s,1.26925244803079,-1.24375786754049
hinf2.dat-s,1.25887236873365,-1.24375786754049
hinf3.dat-s,1.26168514267408,-1.24375786754049
hinf4.dat-s,1.27842442022152,-1.24375786754049
hinf5.dat-s,1.25182011417195,-1.24375786754049
hinf6.dat-s,1.26502631947438,-1.24375786754049
hinf7.dat-s,1.24900478943962,-1.24375786754049
hinf8.dat-s,1.25926051635193,-1.24375786754049
hinf9.dat-s,1.26703123065495,-1.24375786754049
maxG11.dat-s,-0.78878997942503,0.834014357913633
maxG32.dat-s,-0.78878997942503,0.926182958525201
maxG51.dat-s,-0.78878997942503,0.829792046269775
maxG55.dat-s,-0.78878997942503,0.968717026806709
maxG60.dat-s,-0.78878997942503,1.00629215644372
mcp100.dat-s,1.18126367253542,-1.24375786754049
mcp124-1.dat-s,-0.78878997942503,0.404378244259429
mcp124-2.dat-s,-0.78878997942503,0.60816613963044
mcp124-3.dat-s,-0.78878997942503,0.654089173299946
mcp124-4.dat-s,-0.78878997942503,0.648271296279963
mcp250-1.dat-s,-0.78878997942503,0.747407716839799
mcp250-2.dat-s,-0.78878997942503,0.733748247900698
mcp250-3.dat-s,-0.78878997942503,0.709972388025521
mcp250-4.dat-s,-0.78878997942503,0.728806790882716
mcp500-1.dat-s,-0.78878997942503,0.854814146365484
mcp500-2.dat-s,-0.78878997942503,0.807010307387888
mcp500-3.dat-s,-0.78878997942503,0.804954621153359
mcp500-4.dat-s,-0.78878997942503,0.817734488369195
qap10.dat-s,-0.78878997942503,1.01040741865302
qap5.dat-s,-0.78878997942503,0.594734881485645
qap6.dat-s,-0.78878997942503,0.831831499509987
qap7.dat-s,-0.78878997942503,0.881087473993358
qap8.dat-s,-0.78878997942503,0.923879447081376
qap9.dat-s,-0.78878997942503,0.965441433981957
qpG11.dat-s,-0.78878997942503,1.06528986787391
qpG51.dat-s,-0.78878997942503,1.14580979950359
ss30.dat-s,1.17536322834385,-1.24375786754049
theta1.dat-s,1.27153812982226,-1.24375786754049
theta2.dat-s,-0.78878997942503,0.671480981046033
theta3.dat-s,-0.78878997942503,0.751676957479203
theta4.dat-s,-0.78878997942503,0.834719309655358
theta5.dat-s,-0.78878997942503,0.931779864484344
theta6.dat-s,-0.78878997942503,0.980508088240234
thetaG11.dat-s,-0.78878997942503,0.874174964226603
thetaG51.dat-s,-0.78878997942503,0.852236246606535
truss1.dat-s,1.2459738480698,-1.24375786754049
truss2.dat-s,1.16826344288322,-1.24375786754049
truss3.dat-s,1.27175189622682,-1.24375786754049
truss4.dat-s,1.27764569781114,-1.24375786754049
truss5.dat-s,1.21196807410834,-1.24375786754049
truss6.dat-s,-0.78878997942503,0.474036336562973
truss7.dat-s,-0.78878997942503,0.706069870791303
truss8.dat-s,-0.78878997942503,0.502912916040314
