Instances,Source,feature_avg_density_ai_upper,feature_b_l2_norm,feature_c_fro_norm_upper,feature_largest_block_fraction,feature_m,feature_n_blocks,feature_n_total_matrix,feature_nnz_c_upper,feature_num_sdp_blocks,algo_sdpt3,algo_sedumi
arch0.dat-s,arch,0.0013177293305674065,25.377155239504685,4.242640687139756,0.5194029850746269,174,2,335,192,1,1.1944308,1.0807242
arch2.dat-s,arch,0.0014873380562840032,25.92077528487981,6.363961030692624,0.5194029850746269,174,2,335,192,1,0.7205997,0.617005
arch4.dat-s,arch,0.0014873380562840032,27.589279375975952,6.363961030692624,0.5194029850746269,174,2,335,192,1,0.5553478,0.5629049
arch8.dat-s,arch,0.0014873380562840032,35.09262266480159,4.242640687139756,0.5194029850746269,174,2,335,192,1,0.6145437,0.6714061
