Instance,Status,Obj.Val,Gap,PInf,DInf,Phi,Optimal,Iter,Time(s),NumErr,pinf,dinf,feasratio
arch0.dat-s,STOPPED,0.00033663344004485865,0.0027650425054886827,0.05866244996954128,0.30944138628848294,0.30944138628848294,False,672,19.6334725,0,0.05866244996954128,0.30944138628848294,58662.44996954128
arch2.dat-s,STOPPED,0.00034852149798650687,0.0044558215127976,0.00578438814177271,0.9597792190749804,0.9597792190749804,False,672,18.6833763,0,0.00578438814177271,0.9597792190749804,5784.38814177271
arch4.dat-s,STOPPED,0.0023779176238667606,0.009425169239270167,0.01645170073299902,3.9113092128147486,3.9113092128147486,False,672,19.0779372,0,0.01645170073299902,3.9113092128147486,16451.70073299902
arch8.dat-s,STOPPED,0.6973439046734405,0.9232702463925105,0.045385149935690004,109.85526979782784,109.85526979782784,False,672,19.8384631,0,0.045385149935690004,109.85526979782784,45385.14993569001
