Row,avg_density_ai_upper,b_l2_norm,c_fro_norm_upper,largest_block_fraction,m,n_blocks,n_total_matrix,nnz_c_upper,num_sdp_blocks
Z_{1},-0.3278,0.1478,-0.6677,-0.742,0.3209,-0.3159,0.5722,-0.3013,0.2509
Z_{2},0.484,-0.283,-0.2717,0.0024,-0.2333,0.9151,-0.191,-0.2513,-0.0638
