Row,z_1,z_2
bnd_pnt_1,-0.423469961996115,4.64174608688568
bnd_pnt_2,-2.34764077937496,4.64791108254993
bnd_pnt_3,-4.63778481464528,3.7161884311278
bnd_pnt_4,-5.62465123779114,2.8930366547486
bnd_pnt_5,-4.79278610480701,0.483310592071411
bnd_pnt_6,-4.36035729214257,-0.344640135137187
bnd_pnt_7,-3.52598971923713,-1.57672030776004
bnd_pnt_8,-2.19630332412748,-2.54355269786533
bnd_pnt_9,0.0623518403155153,-3.29733867523062
bnd_pnt_10,0.694201803129476,-3.45803395807671
bnd_pnt_11,2.61837262050832,-3.46419895374095
bnd_pnt_12,4.90851665577865,-2.53247630231883
bnd_pnt_13,5.8953830789245,-1.70932452593963
bnd_pnt_14,5.06351794594037,0.700401536737564
bnd_pnt_15,4.63108913327593,1.52835226394616
bnd_pnt_16,3.7967215603705,2.76043243656902
bnd_pnt_17,2.46703516526084,3.7272648266743
bnd_pnt_18,0.208380000817845,4.48105080403959
bnd_pnt_19,-0.423469961996115,4.64174608688568
