Row,Area_Good_Normalized,Density_Good_Normalized,Purity_Good,Area_Best_Normalized,Density_Best_Normalized,Purity_Best
sdpt3,0.695,1.044,1,0.615,1.002,0.978
sedumi,0.317,1.165,1,0.317,1.165,1
